license_id,county,age,birth_date,violation_code,violation_year,violation_month,points
BR425170,Westchester,70,1954-12-07,SPEED IN ZONE 21-30,2025,11,6
PK119730,Other,30,1994-12-07,CHILD SAFETY RESTRAINT,2025,11,3
JW166375,Nassau,19,2005-12-06,SPEED IN ZONE 31-40,2025,11,8
UK266096,Richmond,43,1981-12-06,FAILED TO STOP SCHOOL BUS,2025,11,5
JO742886,Queens,19,2005-12-06,USE OF PORTABLE ELECTRONIC DEVICE,2025,11,5
NA519050,Westchester,39,1985-12-06,UNREGISTERED VEHICLE,2025,11,0
FF608247,Suffolk,19,2005-12-06,FAIL TO SIGNAL,2025,11,2
HR029404,Other,23,2001-12-06,DRIVING LEFT OF CENTER,2025,11,3
LR222562,New York,28,1996-12-06,SPEED IN ZONE 1-10,2025,11,3
IG102555,Queens,41,1983-12-07,DISOBEY TRAFFIC DEVICE,2025,11,2
OY710149,Suffolk,76,1948-12-06,RAILROAD CROSSING VIOLATION,2025,11,5
YG772961,Other,38,1986-12-07,NO SEAT BELT ADULT,2025,11,0
GF690930,Kings,34,1990-12-07,FAILED TO STOP SCHOOL BUS,2025,11,5
WI466813,Other,51,1973-12-06,SPEED IN ZONE 11-20,2025,11,4
NM619676,Other,40,1984-12-06,UNREGISTERED VEHICLE,2025,11,0
OJ387425,Kings,23,2001-12-06,RECKLESS DRIVING,2025,11,5
XF072845,New York,35,1989-12-06,FAILED TO YIELD RIGHT OF WAY,2025,11,3
DN461416,Other,29,1995-12-07,IMPROPER CELL PHONE USE,2025,11,5
BT820095,Nassau,26,1998-12-07,SPEED IN ZONE 11-20,2025,11,4
ND119657,Other,22,2002-12-07,UNREGISTERED VEHICLE,2025,11,0
NV690280,Other,23,2001-12-06,UNREGISTERED VEHICLE,2025,11,0
TJ608959,Queens,35,1989-12-06,FAULTY EQUIPMENT,2025,11,0
KY620420,Kings,34,1990-12-07,RAILROAD CROSSING VIOLATION,2025,11,5
PI294591,Bronx,23,2001-12-06,UNINSPECTED VEHICLE,2025,11,0
